# Note: auto-generated file (changes will be lost on update)
# Name; Value; Display; Description
MJSWG; "0.33"; no; "-"
CJ; "5.0E-4"; no; "-"
VFBCV; "-1.0"; no; "-"
VFB; "-99.0"; no; "-"
CJSW; "5.0E-10"; no; "-"
CJSWG; "5.0e-10"; no; "-"
TPB; "0.0"; no; "-"
TCJ; "0.0"; no; "-"
TPBSW; "0.0"; no; "-"
TCJSW; "0.0"; no; "-"
TPBSWG; "0.0"; no; "-"
TCJSWG; "0.0"; no; "-"
ACDE; "1.0"; no; "-"
MOIN; "15.0"; no; "-"
NOFF; "1.0"; no; "-"
VOFFCV; "0.0"; no; "-"
LINT; "0.0"; no; "-"
LL; "0.0"; no; "-"
LLC; "0.0"; no; "-"
LLN; "1.0"; no; "-"
LW; "0.0"; no; "-"
LWC; "0.0"; no; "-"
LWN; "1.0"; no; "-"
LWL; "0.0"; no; "-"
LWLC; "0.0"; no; "-"
LMIN; "0.0"; no; "-"
LMAX; "1.0"; no; "-"
WR; "1.0"; no; "-"
WINT; "0.0"; no; "-"
DWG; "0.0"; no; "-"
DWB; "0.0"; no; "-"
WL; "0.0"; no; "-"
WLC; "0.0"; no; "-"
WLN; "1.0"; no; "-"
WW; "0.0"; no; "-"
WWC; "0.0"; no; "-"
WWN; "1.0"; no; "-"
WWL; "0.0"; no; "-"
WWLC; "0.0"; no; "-"
WMIN; "0.0"; no; "-"
WMAX; "1.0"; no; "-"
B0; "0.0"; no; "-"
B1; "0.0"; no; "-"
CGSL; "0.0"; no; "-"
CGDL; "0.0"; no; "-"
CKAPPA; "0.6"; no; "-"
CF; "-99.0"; no; "-"
CLC; "0.1e-6"; no; "-"
CLE; "0.6"; no; "-"
DWC; "0.0"; no; "-"
DLC; "-99.0"; no; "-"
ALPHA0; "0.0"; no; "-"
ALPHA1; "0.0"; no; "-"
BETA0; "30.0"; no; "-"
IJTH; "0.1"; no; "-"
LCDSC; "0.0"; no; "-"
LCDSCB; "0.0"; no; "-"
LCDSCD; "0.0"; no; "-"
LCIT; "0.0"; no; "-"
LNFACTOR; "0.0"; no; "-"
LXJ; "0.0"; no; "-"
LVSAT; "0.0"; no; "-"
LAT; "0.0"; no; "-"
LA0; "0.0"; no; "-"
LAGS; "0.0"; no; "-"
LA1; "0.0"; no; "-"
LA2; "0.0"; no; "-"
LKETA; "0.0"; no; "-"
LNSUB; "0.0"; no; "-"
LNCH; "0.0"; no; "-"
LNGATE; "0.0"; no; "-"
LGAMMA1; "-99.0"; no; "-"
LGAMMA2; "-99.0"; no; "-"
LVBX; "-99.0"; no; "-"
LVBM; "0.0"; no; "-"
LXT; "0.0"; no; "-"
LK1; "-99.0"; no; "-"
LKT1; "0.0"; no; "-"
LKT1L; "0.0"; no; "-"
LKT2; "0.0"; no; "-"
LK2; "-99.0"; no; "-"
LK3; "0.0"; no; "-"
LK3B; "0.0"; no; "-"
LW0; "0.0"; no; "-"
LNLX; "0.0"; no; "-"
LDVT0; "0.0"; no; "-"
LDVT1; "0.0"; no; "-"
LDVT2; "0.0"; no; "-"
LDVT0W; "0.0"; no; "-"
LDVT1W; "0.0"; no; "-"
LDVT2W; "0.0"; no; "-"
LDROUT; "0.0"; no; "-"
LDSUB; "0.0"; no; "-"
LVTH0; "0.0"; no; "-"
LVTHO; "0.0"; no; "-"
LUA; "0.0"; no; "-"
LUA1; "0.0"; no; "-"
LUB; "0.0"; no; "-"
LUB1; "0.0"; no; "-"
LUC; "0.0"; no; "-"
LUC1; "0.0"; no; "-"
LU0; "0.0"; no; "-"
LUTE; "0.0"; no; "-"
LVOFF; "0.0"; no; "-"
LELM; "0.0"; no; "-"
LDELTA; "0.0"; no; "-"
LRDSW; "0.0"; no; "-"
LPRWG; "0.0"; no; "-"
LPRWB; "0.0"; no; "-"
LPRT; "0.0"; no; "-"
LETA0; "0.0"; no; "-"
LETAB; "0.0"; no; "-"
LPCLM; "0.0"; no; "-"
LPDIBLC1; "0.0"; no; "-"
LPDIBLC2; "0.0"; no; "-"
LPDIBLCB; "0.0"; no; "-"
LPSCBE1; "0.0"; no; "-"
LPSCBE2; "0.0"; no; "-"
LPVAG; "0.0"; no; "-"
LWR; "0.0"; no; "-"
LDWG; "0.0"; no; "-"
LDWB; "0.0"; no; "-"
LB0; "0.0"; no; "-"
LB1; "0.0"; no; "-"
LCGSL; "0.0"; no; "-"
LCGDL; "0.0"; no; "-"
LCKAPPA; "0.0"; no; "-"
LCF; "0.0"; no; "-"
LCLC; "0.0"; no; "-"
LCLE; "0.0"; no; "-"
LALPHA0; "0.0"; no; "-"
LALPHA1; "0.0"; no; "-"
LBETA0; "0.0"; no; "-"
LVFBCV; "0.0"; no; "-"
LVFB; "0.0"; no; "-"
LACDE; "0.0"; no; "-"
LMOIN; "0.0"; no; "-"
LNOFF; "0.0"; no; "-"
LVOFFCV; "0.0"; no; "-"
WCDSC; "0.0"; no; "-"
WCDSCB; "0.0"; no; "-"
WCDSCD; "0.0"; no; "-"
WCIT; "0.0"; no; "-"
WNFACTOR; "0.0"; no; "-"
WXJ; "0.0"; no; "-"
WVSAT; "0.0"; no; "-"
WAT; "0.0"; no; "-"
WA0; "0.0"; no; "-"
WAGS; "0.0"; no; "-"
WA1; "0.0"; no; "-"
WA2; "0.0"; no; "-"
WKETA; "0.0"; no; "-"
WNSUB; "0.0"; no; "-"
WNCH; "0.0"; no; "-"
WNGATE; "0.0"; no; "-"
WGAMMA1; "-99.0"; no; "-"
WGAMMA2; "-99.0"; no; "-"
WVBX; "-99.0"; no; "-"
WVBM; "0.0"; no; "-"
WXT; "0.0"; no; "-"
WK1; "-99.0"; no; "-"
WKT1; "0.0"; no; "-"
WKT1L; "0.0"; no; "-"
WKT2; "0.0"; no; "-"
WK2; "-99.0"; no; "-"
WK3; "0.0"; no; "-"
WK3B; "0.0"; no; "-"
WW0; "0.0"; no; "-"
WNLX; "0.0"; no; "-"
WDVT0; "0.0"; no; "-"
WDVT1; "0.0"; no; "-"
WDVT2; "0.0"; no; "-"
WDVT0W; "0.0"; no; "-"
WDVT1W; "0.0"; no; "-"
WDVT2W; "0.0"; no; "-"
WDROUT; "0.0"; no; "-"
WDSUB; "0.0"; no; "-"
WVTH0; "0.0"; no; "-"
WVTHO; "0.0"; no; "-"
WUA; "0.0"; no; "-"
WUA1; "0.0"; no; "-"
WUB; "0.0"; no; "-"
WUB1; "0.0"; no; "-"
WUC; "0.0"; no; "-"
WUC1; "0.0"; no; "-"
WU0; "0.0"; no; "-"
WUTE; "0.0"; no; "-"
WVOFF; "0.0"; no; "-"
WELM; "0.0"; no; "-"
WDELTA; "0.0"; no; "-"
WRDSW; "0.0"; no; "-"
WPRWG; "0.0"; no; "-"
WPRWB; "0.0"; no; "-"
WPRT; "0.0"; no; "-"
WETA0; "0.0"; no; "-"
WETAB; "0.0"; no; "-"
WPCLM; "0.0"; no; "-"
WPDIBLC1; "0.0"; no; "-"
WPDIBLC2; "0.0"; no; "-"
WPDIBLCB; "0.0"; no; "-"
WPSCBE1; "0.0"; no; "-"
WPSCBE2; "0.0"; no; "-"
WPVAG; "0.0"; no; "-"
WWR; "0.0"; no; "-"
WDWG; "0.0"; no; "-"
WDWB; "0.0"; no; "-"
WB0; "0.0"; no; "-"
WB1; "0.0"; no; "-"
WCGSL; "0.0"; no; "-"
WCGDL; "0.0"; no; "-"
WCKAPPA; "0.0"; no; "-"
WCF; "0.0"; no; "-"
WCLC; "0.0"; no; "-"
WCLE; "0.0"; no; "-"
WALPHA0; "0.0"; no; "-"
WALPHA1; "0.0"; no; "-"
WBETA0; "0.0"; no; "-"
WVFBCV; "0.0"; no; "-"
WVFB; "0.0"; no; "-"
WACDE; "0.0"; no; "-"
WMOIN; "0.0"; no; "-"
WNOFF; "0.0"; no; "-"
WVOFFCV; "0.0"; no; "-"
PCDSC; "0.0"; no; "-"
PCDSCB; "0.0"; no; "-"
PCDSCD; "0.0"; no; "-"
PCIT; "0.0"; no; "-"
PNFACTOR; "0.0"; no; "-"
PXJ; "0.0"; no; "-"
PVSAT; "0.0"; no; "-"
PAT; "0.0"; no; "-"
PA0; "0.0"; no; "-"
PAGS; "0.0"; no; "-"
PA1; "0.0"; no; "-"
PA2; "0.0"; no; "-"
PKETA; "0.0"; no; "-"
PNSUB; "0.0"; no; "-"
PNCH; "0.0"; no; "-"
PNGATE; "0.0"; no; "-"
PGAMMA1; "-99.0"; no; "-"
PGAMMA2; "-99.0"; no; "-"
PVBX; "-99.0"; no; "-"
PVBM; "0.0"; no; "-"
PXT; "0.0"; no; "-"
PK1; "-99.0"; no; "-"
PKT1; "0.0"; no; "-"
PKT1L; "0.0"; no; "-"
PKT2; "0.0"; no; "-"
PK2; "-99.0"; no; "-"
PK3; "0.0"; no; "-"
PK3B; "0.0"; no; "-"
PW0; "0.0"; no; "-"
PNLX; "0.0"; no; "-"
PDVT0; "0.0"; no; "-"
PDVT1; "0.0"; no; "-"
PDVT2; "0.0"; no; "-"
PDVT0W; "0.0"; no; "-"
PDVT1W; "0.0"; no; "-"
PDVT2W; "0.0"; no; "-"
PDROUT; "0.0"; no; "-"
PDSUB; "0.0"; no; "-"
PVTH0; "0.0"; no; "-"
PVTHO; "0.0"; no; "-"
PUA; "0.0"; no; "-"
PUA1; "0.0"; no; "-"
PUB; "0.0"; no; "-"
PUB1; "0.0"; no; "-"
PUC; "0.0"; no; "-"
PUC1; "0.0"; no; "-"
PU0; "0.0"; no; "-"
PUTE; "0.0"; no; "-"
PVOFF; "0.0"; no; "-"
PELM; "0.0"; no; "-"
PDELTA; "0.0"; no; "-"
PRDSW; "0.0"; no; "-"
PPRWG; "0.0"; no; "-"
PPRWB; "0.0"; no; "-"
PPRT; "0.0"; no; "-"
PETA0; "0.0"; no; "-"
PETAB; "0.0"; no; "-"
PPCLM; "0.0"; no; "-"
PPDIBLC1; "0.0"; no; "-"
PPDIBLC2; "0.0"; no; "-"
PPDIBLCB; "0.0"; no; "-"
PPSCBE1; "0.0"; no; "-"
PPSCBE2; "0.0"; no; "-"
PPVAG; "0.0"; no; "-"
PWR; "0.0"; no; "-"
PDWG; "0.0"; no; "-"
PDWB; "0.0"; no; "-"
PB0; "0.0"; no; "-"
PB1; "0.0"; no; "-"
PCGSL; "0.0"; no; "-"
PCGDL; "0.0"; no; "-"
PCKAPPA; "0.0"; no; "-"
PCF; "0.0"; no; "-"
PCLC; "0.0"; no; "-"
PCLE; "0.0"; no; "-"
PALPHA0; "0.0"; no; "-"
PALPHA1; "0.0"; no; "-"
PBETA0; "0.0"; no; "-"
PVFBCV; "0.0"; no; "-"
PVFB; "0.0"; no; "-"
PACDE; "0.0"; no; "-"
PMOIN; "0.0"; no; "-"
PNOFF; "0.0"; no; "-"
PVOFFCV; "0.0"; no; "-"
KF; "0.0"; no; "-"
AF; "1.0"; no; "-"
EF; "1.0"; no; "-"
Temp; "26.85"; no; "simulation temperature"
